Title,Author,Type,Price,Summary,Publication Year,Language,ISBN,Category,Copyright,Contributors,Pages,Binding,Interior Color,Dimensions,Format,Keywords
Jews of Kishinev and Vicinity,Ella Romm,Paperback,USD 15.00,"This book is devoted to the Jews of Kishinev who were numerous at the dawn of the 20th century but mostly disappeared in pogroms, wars and immigration waves. You will meet the people killed in the 1905 Kishinev pogrom and some prisoners of the ghetto during the World War II. I am also including the burial listings from the Kishinev Jewish cemetery and, finally, famous people of Kishinev.",2017,English,9781387201235,Biographies & Memoirs,All Rights Reserved - Standard Copyright License,By (author): Ella Romm,96,Paperback,Black & White,US Trade (6 x 9 in / 152 x 229 mm),,"['Kishinev Jewish cemetery', 'Kishinev Jewish Pogrom', 'famous Kishinev Jews', 'Kishinev Ghetto']"
THE LEGENDS OF THE JEWS,Louis Ginzberg,Paperback,USD 29.63,"<center><b>THE LEGENDS OF THE JEWS
<br />Volumes I ~ IV
<br />Bible Times And Characters
<br />From The Creation To Esther
<br /></b></center>
<p>732 p.p.  (8.5"" X 11"")
</p><p>
This is a massive collation of the Haggada - the traditions which have grown up surrounding the Biblical narrative. 

These stories and bits of layered detail are scattered throughout the Talmud and the Midrash, and other sources, including oral. 

In the 19th century Ginzberg undertook the task of arranging the Haggada into chronological order, and this was the result.</p>",2007,English,N/A,Religion & Spirituality,All Rights Reserved - Standard Copyright License,By (author): Louis Ginzberg,732,Paperback,Black & White,US Letter (8.5 x 11 in / 216 x 279 mm),,['Jewish Legends']
"Volume 5443, Persaud --- Persian Jews",Print Wikipedia,Hardcover,USD 80.00,"Volume 5443, Persaud---Persian Jews

Print Wikipedia is a both a utilitarian visualization of the largest accumulation of human knowledge and a poetic gesture towards the inhuman scale of big data. Michael Mandberg wrote software that parses the entirety of the English-language Wikipedia database and programmatically lays out nearly 7500 volumes, complete with covers, and then uploads them to Lulu.com for print-on-demand. Print Wikipedia draws attention to the sheer size of the encyclopedia's content and the impossibility of rendering Wikipedia as a material object in fixed form: Once a volume is printed it is already out of date. It is also a work of found poetry built on what is likely the largest appropriation ever made. As we become increasingly more dependent on information and source material on the Internet today, Mandiberg explores the accessibility of its vastness.",2015,English,9781329316911,Poetry,All Rights Reserved - Standard Copyright License,By (author): Print Wikipedia,702,Hardcover,Black & White,US Trade (6 x 9 in / 152 x 229 mm),,"['Poetry', 'Reference', 'Wikipedia', 'Mandiberg']"
The Antiquities of the Jews,FLAVIUS JOSEPHUS,Ebook,USD 2.99,"FLAVIUS JOSEPHUS
The Antiquities of the Jews
Josephus's ""Antiquities of the Jews"" traces the whole history of the race down to the outbreak of the great war. He also wrote an autobiography (see Lives and Letters) and a polemical treatise, ""Flavius Josephus against Apion."" His style is so classically elegant that critics have called him the Greek Livy. The following summary of the ""Antiquities of the Jews"" contains the substance of the really valuable sections, other portions being little else than a paraphrase of the histories embodied in the Old Testament.",2013,English,9781300996392,Reference,All Rights Reserved - Standard Copyright License,By (author): FLAVIUS JOSEPHUS,,,,,EPUB,[]
An Answer to the Jews,Tertullian,Ebook,USD 1.99,"Quintus Septimius Florens Tertullianus, anglicised as Tertullian (c. 160 – c. 225 AD), was a prolific early Christian author from Carthage in the Roman province of Africa. He is the first Christian author to produce an extensive corpus of Latin Christian literature. He also was a notable early Christian apologist and a polemicist against heresy. Tertullian has been called ""the father of Latin Christianity"" and ""the founder of Western theology."" Though conservative, he did originate and advance new theology to the early Church. He is perhaps most famous for being the oldest extant Latin writer to use the term Trinity (Latin trinitas), and giving the oldest extant formal exposition of a Trinitarian theology.",2012,English,9781300229575,Religion & Spirituality,All Rights Reserved - Standard Copyright License,By (author): Tertullian,,,,,EPUB,[]
Sabbath has Kept the Jews,Beth Grossman,Ebook,USD 5.00,"Grossman's art installation, inspired by a Marc Chagall painting, reconnects contemporary Jewish culture with the Sabbath table as altar. The title comes from an old saying, ""Jews do not keep the Sabbath; the Sabbath has kept the Jews,"" written by Asher Ginsburg (1856-1927), pen name Ahad Ha'am.

The Sabbath Has Kept the Jews evokes the historical Tabernacle and the adaptation of the family Sabbath table as altar.  This art work is an homage to the devoted domestic faith of generations of women who have created weekly Sabbath dinners. The Sabbath table rituals signify holy community with the Jewish people everywhere.

As an artist, Grossman interprets Jewish history and rituals using domestic objects chosen for their shape, function or symbolism. Exploring the realm of the sacred in daily life cycles, she draws questions from history, establishes a connection to the present and expresses hope for the future.",2011,English,N/A,Art & Photography,All Rights Reserved - Standard Copyright License,By (author): Beth Grossman,,,,,PDF,"['Art', 'Jewish', 'Sabbath', 'rituals']"
The Legends of the Jews III,Louis Ginzberg,Paperback,USD 30.00,"This is a massive collation of the Haggada--the traditions which have grown up surrounding the Biblical narrative. These stories and bits of layered detail are scattered throughout the Talmud and the Midrash, and other sources, including oral. In the 19th century Ginzberg undertook the task of arranging the Haggada into chronological order, and this series of volumes was the result. Jacob was not exempt from the lot that falls to the share of all the pious. Whenever they expect to enjoy life in tranquillity, Satan hinders them. He appears before God, and says: ""Is it not enough that the future world is set apart for the pious? What right have they to enjoy this world, besides?""",2017,English,9781387467228,History,All Rights Reserved - Standard Copyright License,By (author): Louis Ginzberg,464,Paperback,Black & White,US Trade (6 x 9 in / 152 x 229 mm),,"['Legends of Jews', 'Louis Ginzberg', 'serpent seed creation', 'story flat earth', 'geocentric cosmology', 'Joshua', 'sun standing still', 'Esther']"
The Legends of the Jews I,Louis Ginzberg,Paperback,USD 25.00,"Volume 1- 300 Pages. This is a massive collation of the Haggada--the traditions which have grown up surrounding the Biblical narrative. These stories and bits of layered detail are scattered throughout the Talmud and the Midrash, and other sources, including oral. In the 19th century Ginzberg undertook the task of arranging the Haggada into chronological order, and this series of volumes was the result. When God bestowed Paradise upon the first pair of mankind, He warned them particularly against carnal intercourse with each other. But after the fall of Eve, Satan, in the guise of the serpent, approached her, and the fruit of their union was Cain, the ancestor of all the impious generations that were rebellious toward God, and rose up against Him. Cain’s descent from Satan, who is the angel Samael, was revealed in his seraphic appearance. At his birth, the exclamation was wrung from Eve, “I have gotten a man through an angel of the Lord.”",2017,English,9781387467181,History,All Rights Reserved - Standard Copyright License,By (author): Louis Ginzberg,410,Paperback,Black & White,US Trade (6 x 9 in / 152 x 229 mm),,"['Legends of Jews', 'Louis Ginzberg', 'serpent seed creation', 'story flat earth', 'geocentric cosmology', 'Joshua', 'sun standing still', 'Esther']"
The Legends of the Jews IV,Louis Ginzberg,Paperback,USD 25.00,"This is a massive collation of the Haggada--the traditions which have grown up surrounding the Biblical narrative. These stories and bits of layered detail are scattered throughout the Talmud and the Midrash, and other sources, including oral. In the 19th century Ginzberg undertook the task of arranging the Haggada into chronological order, and this series of volumes was the result. Jacob was not exempt from the lot that falls to the share of all the pious. Whenever they expect to enjoy life in tranquillity, Satan hinders them. He appears before God, and says: ""Is it not enough that the future world is set apart for the pious? What right have they to enjoy this world, besides?""",2017,English,9781387467280,History,All Rights Reserved - Standard Copyright License,By (author): Louis Ginzberg,412,Paperback,Black & White,US Trade (6 x 9 in / 152 x 229 mm),,"['Legends of Jews', 'Louis Ginzberg', 'serpent seed creation', 'story flat earth', 'geocentric cosmology', 'Joshua', 'sun standing still', 'Esther']"
The Legends of the Jews II,Louis Ginzberg,Paperback,USD 25.00,"This is a massive collation of the Haggada--the traditions which have grown up surrounding the Biblical narrative. These stories and bits of layered detail are scattered throughout the Talmud and the Midrash, and other sources, including oral. In the 19th century Ginzberg undertook the task of arranging the Haggada into chronological order, and this series of volumes was the result. Jacob was not exempt from the lot that falls to the share of all the pious. Whenever they expect to enjoy life in tranquillity, Satan hinders them. He appears before God, and says: ""Is it not enough that the future world is set apart for the pious? What right have they to enjoy this world, besides?""",2017,English,9781387467259,History,All Rights Reserved - Standard Copyright License,By (author): Louis Ginzberg,358,Paperback,Black & White,US Trade (6 x 9 in / 152 x 229 mm),,"['Legends of Jews', 'Louis Ginzberg', 'serpent seed creation', 'story flat earth', 'geocentric cosmology', 'Joshua', 'sun standing still', 'Esther']"
Spiritual Unity of Jews and Christians,Vladimir Minkov,Paperback,USD 23.48,"The history of the Western civilization is a transformation from the pagan morality to the God-given morality of Judaism, of Christianity and then of Judeo-Christian civilization as we know it now with the Jewish mission of the Chosen with the Torah as the instructions for replacing the pagan morality, under which the humans lived at the beginning. 
The pagan morality is based on enhancing “my wellbeing” by defeating “my neighbor” with the help of “my god” if I bribe enough “my god,” while the God’s Torah-guided morality is based on enhancing “my wellbeing” by cooperating with “my neighbor,” and One God will help me to achieve all that if I follow his guidance. The spiritual unity of Jews and Christians is explored, based on the common Torah/Bible-guided Judeo-Christian morality – not on different religious rituals and beliefs created by the priests of Judaism and Christianity. That is and many other related things what this book is discussing.",2019,English,9780359390533,Religion & Spirituality,All Rights Reserved - Standard Copyright License,By (author): Vladimir Minkov,258,Paperback,Black & White,US Trade (6 x 9 in / 152 x 229 mm),,"['Intellectual Judaism', 'Jews/Christians', 'TorahBible', 'Judeo-Christian morality', 'One God', 'USA', 'Israel', 'Western civilization', 'Ten Commandments', 'Image of God']"
