Title,Author,Type,Price,Summary,Publication Year,Language,ISBN,Category,Copyright,Contributors,Pages,Binding,Interior Color,Dimensions,Format,Keywords
Rescue of the Budapest Jews,Eliezer Rabinovich,Paperback,USD 18.02,"Everyone knows about the efforts of diplomats like Carl Lutz and Raoul Wallenberg in saving the Jews of Budapest after the Germans occupied Hungary on March 19, 1944. Almost no one, however, knows that their undertaking would have been entirely impossible if the Jews had not first been saved from deportations by the Hungarian Regent Miklos Horthy. Deprived of real power by the occupation, the 77 year old Horthy found a loyal armored unit, took back partial power and forbade further deportations, thus preserving about a quarter of a million of Budapest�s Jews to be cared for by the diplomats after he was overthrown.",2016,Russian,9781326533168,History,All Rights Reserved - Standard Copyright License,By (author): Eliezer Rabinovich,204,Paperback,Black & White,US Trade (6 x 9 in / 152 x 229 mm),,"['Rescue', 'Budapest', 'Jews', 'Mikl�s Horthy', 'Holocaust']"
THE LEGENDS OF THE JEWS,Louis Ginzberg,Ebook,USD 0.00,"THE LEGENDS OF THE JEWS
Volumes I ~ IV
Bible Times And Characters
From The Creation To Esther

732 p.p.  (8.5"" X 11"")

This is a massive collation of the Haggada - the traditions which have grown up surrounding the Biblical narrative. 

These stories and bits of layered detail are scattered throughout the Talmud and the Midrash, and other sources, including oral. 

In the 19th century Ginzberg undertook the task of arranging the Haggada into chronological order, and this was the result.",2011,English,N/A,Religion & Spirituality,All Rights Reserved - Standard Copyright License,By (author): Louis Ginzberg,,,,,PDF,['Jewish Legends']
JEWS IN DEVELOPMENT OF SPACE,NELI MELMAN,Paperback,USD 8.50,"Today the world space brotherhood speaks also on Chinese, Japanese, Korean, Hindi and many other languages. In this chorus a notable contribution of the Jews. They make about three percent from the number of all astronauts. The specified percent it is incomparable more, than among others nationalities",2017,English,9781387245130,History,All Rights Reserved - Standard Copyright License,By (author): NELI MELMAN,40,Paperback,Black & White,US Letter (8.5 x 11 in / 216 x 279 mm),,['ASTRONAUT SPACE FLIGHTS']
It's the Jews (E-book),Froge Unchained,Ebook,USD 8.00,"It's the jews. Always has been, always will be. 

.",2022,English,N/A,Humor,All Rights Reserved - Standard Copyright License,By (author): Froge Unchained,,,,,PDF,"['its', 'the', 'jews']"
Of Tortoises and Other Jews,Hannah Yakin,Paperback,USD 13.99,"""Of Tortoises and other Jews"" is the story of Hannah Yakin's childhood in Holland during the Second World War. Being the daughter of a Jewish mother and a non-Jewish father Hannah has to make sense of many unexpected and unexplained situations.

Hannah and Abraham Yakin live in Jerusalem, Israel. They have eight children, many grandchildren and a growing number of great-grandchildren. Their colorful website,does not only represent their own art but also that of their talented offspring.",2014,English,9789657542224,Biographies & Memoirs,All Rights Reserved - Standard Copyright License,By (author): Hannah Yakin,96,Paperback,Black & White,A5 (5.83 x 8.27 in / 148 x 210 mm),,"['Second World War', 'WWII', 'Jewish persecution', 'anti-Semitism', 'Netherlands', 'Amstelveen', 'hiding place', 'Hunger Winter', 'Nazis', 'Amsterdam', 'The Hague']"
The Wars of the Jews,FLAVIUS JOSEPHUS,Ebook,USD 2.99,"The Wars of the Jews
Josephus, in his ""Wars of the Jews,"" gives the only full and reliable account of the tragic siege and destruction of Jerusalem by the Romans under Titus. Excepting in the opening, he writes throughout in the third person, although he was present in the Roman camp as a prisoner during the siege, and before then had been, as governor of Galilee, the brave and energetic antagonist of the Romans. Becoming the friend of Titus, and despairing of the success of his compatriots, he was employed in efforts to conciliate the leaders of the rebellion during the siege, and he was for three years a privileged captive in the camp of the besiegers. His recital is one of the most thrilling samples of romantic realism in the whole range of ancient literature, and its veracity and honesty have never been impugned.",2013,English,9781304000071,Reference,All Rights Reserved - Standard Copyright License,By (author): FLAVIUS JOSEPHUS,,,,,EPUB,[]
THE JEWS ARE THE JEWELS,Raja choudary SAJJA,Paperback,USD 13.40,"An inspirational book for Jewish children .This book is written by my dad and dedicated to all Jews. It highlights  the Great Jews who contributed to the society and the world. It  is a simple book written keeping the Jewish children in mind and contains 108 prose verses.Also read author's other poetry books...THE BIG BANG HIJACKED, HUMOUROUS RUMINATIONS, A BLEAT PLAINTIVE, THREE IN ONE IN SPECIAL DAWN to enjoy author's creative writing in poetic verses for his great thought. (All his books combined contains about 650 poetic verses written in 17 days in the month of Sep 1999).Please visit my webpage at www.wonderisindia.com",2007,English,9781411614864,Religion & Spirituality,All Rights Reserved - Standard Copyright License,By (author): Raja choudary SAJJA,110,Paperback,Black & White,US Trade (6 x 9 in / 152 x 229 mm),,"['Religion', 'Spirituality', 'Prayer', 'Books', 'Devotional', 'Literature']"
A History of the Jews,Jonathan Bergwerk,Ebook,USD 6.99,"A short history of the Jewish people, with the key facts and trends, taking a top-down overview of 4,000 years, looking both at what was happening to Jews and at Jewish practice. From the smallest of beginnings, a way of life for the Jewish people emerged and over time both the beliefs and practices of that people continually evolved. Authentic Judaism is therefore reforming Judaism.  The book includes study material for use in groups or individually.",2021,English,9781716288326,History,All Rights Reserved - Standard Copyright License,By (author): Jonathan Bergwerk,,,,,EPUB,"['Judaism', 'Jewish History']"
The Jews Counter-Missionary Handbook,Bruce Delmont,Paperback,USD 6.00,"A guide to enable Jews to debate the Biblical proof-texts and theological differences between Judaism and Christianity.  Chapters include: Answers to Missionary Scriptural Interpretations, Answers to Missionary �Proofs,� ""New Testament"" Contradictions, and ""Messianic"" Terminology.",2010,English,N/A,Religion & Spirituality,All Rights Reserved - Standard Copyright License,By (author): Bruce Delmont,26,Saddle Stitch,Black & White,US Trade (6 x 9 in / 152 x 229 mm),,"['Judaism', 'Christianity', 'missionaries', 'differences', 'Bible']"
The Wars of the Jews,Flavius Josephus,Ebook,USD 4.99,"Whereas the war which the Jews made with the Romans hath been the greatest of all those, not only that have been in our times, but, in a manner, of those that ever were heard of; both of those wherein cities have fought against cities, or nations against nations; while some men who were not concerned in the affairs themselves have gotten together vain and contradictory stories by hearsay, and have written them down after a sophistical manner; and while those that were there present have given false accounts of things, and this either out of a humor of flattery to the Romans, or of hatred towards the Jews; and while their writings contain sometimes accusations, and sometimes encomiums, but no where the accurate truth of the facts",2012,English,9781300016519,History,All Rights Reserved - Standard Copyright License,By (author): Flavius Josephus,,,,,EPUB,"['The Wars of', 'the Jews']"
THE LEGENDS OF THE JEWS (1909),LOUIS GINZBERG TRANSLATED BY HENRIETTA SZOLD,Ebook,USD 2.00,"The term Rabbinic was applied to the Jewish Literature of 
post-Biblical times by those who conceived the Judaism of the
later epoch to be something different from the Judaism of the
Bible, something actually opposed to it. Such observers held that
the Jewish nation ceased to exist with the moment when its
political independence was destroyed. For them the Judaism of the
later epoch has been a Judaism of the Synagogue, the spokesmen of
which have been the scholars, the Rabbis. And what this phase of
Judaism brought forth has been considered by them to be the
product of the schools rather than the product of practical,
pulsating life. Poetic phantasmagoria, frequently the vaporings
of morbid visionaries, is the material out of which these
scholars construct the theologic system of the Rabbis, and fairy
tales, the spontaneous creations of the people, which take the
form of sacred legend in Jewish literature,",2011,English,N/A,Religion & Spirituality,All Rights Reserved - Standard Copyright License,By (author): LOUIS GINZBERG TRANSLATED BY HENRIETTA SZOLD,,,,,PDF,['LEGENDS OF  JEWS']
"Volume 2954, History of the Jews in Arles --- History of the Jews in Thessaloniki",Print Wikipedia,Hardcover,USD 80.00,"Volume 2954, History of the Jews in Arles---History of the Jews in Thessaloniki

Print Wikipedia is a both a utilitarian visualization of the largest accumulation of human knowledge and a poetic gesture towards the inhuman scale of big data. Michael Mandberg wrote software that parses the entirety of the English-language Wikipedia database and programmatically lays out nearly 7500 volumes, complete with covers, and then uploads them to Lulu.com for print-on-demand. Print Wikipedia draws attention to the sheer size of the encyclopedia's content and the impossibility of rendering Wikipedia as a material object in fixed form: Once a volume is printed it is already out of date. It is also a work of found poetry built on what is likely the largest appropriation ever made. As we become increasingly more dependent on information and source material on the Internet today, Mandiberg explores the accessibility of its vastness.",2015,English,9781329283336,Poetry,All Rights Reserved - Standard Copyright License,By (author): Print Wikipedia,701,Hardcover,Black & White,US Trade (6 x 9 in / 152 x 229 mm),,"['Poetry', 'Reference', 'Wikipedia', 'Mandiberg']"
THE JEWS FROM CYRUS TO HEROD,Norman H. Snaith,Paperback,USD 14.46,"This is a classic work, selected for its cultural, spiritual and literary importance to compose the catalog of works reedited and republished by True Wisdom Books.
(This is a facsimile reproduction from the original edition. Pages with cream colored background).
See a preview of the book in our website (link below)",2022,English,N/A,History,No Known Copyright (Public Domain),By (author): Norman H. Snaith,211,Paperback,Color,US Trade (6 x 9 in / 152 x 229 mm),,"['Jewish History', 'Ancient Israel']"
Sabbath has Kept the Jews,Beth Grossman,Paperback,USD 12.70,"Grossman's art installation, inspired by a Marc Chagall painting, reconnects contemporary Jewish culture with the Sabbath table as altar. The title comes from an old saying, ""Jews do not keep the Sabbath; the Sabbath has kept the Jews,"" written by Asher Ginsburg (1856-1927), pen name Ahad Ha'am.

The Sabbath Has Kept the Jews evokes the historical Tabernacle and the adaptation of the family Sabbath table as altar.  This art work is an homage to the devoted domestic faith of generations of women who have created weekly Sabbath dinners. The Sabbath table rituals signify holy community with the Jewish people everywhere.

As an artist, Grossman interprets Jewish history and rituals using domestic objects chosen for their shape, function or symbolism. Exploring the realm of the sacred in daily life cycles, she draws questions from history, establishes a connection to the present and expresses hope for the future.",2007,English,N/A,Art & Photography,All Rights Reserved - Standard Copyright License,By (author): Beth Grossman,16,Saddle Stitch,Color,US Letter (8.5 x 11 in / 216 x 279 mm),,"['Art', 'Jewish', 'Sabbath', 'rituals']"
